Timestamp,Județ,Cerere validată?,Apă (nr sticle 0.5l),Săpun lichid (l),Detergent (l),Măști P1,Măști FFP2,Măști FFP3,Măști de bumbac,Halate,Mănuși latex scurte,Mănuși latex lungi,Mănuși nitril scurte,Mănuși nitril lungi,Mănuși sterile scurte,Mănuși sterile lungi,Dezinfectant mâini (l),Dezinfectant suprafețe (l),Mâncare (una pe rând),Altele (una pe rând),Care sunt nevoile pe care le aveți?,Timestamp,Ce tip de unitate reprezinți?,Pe cine reprezinți?,Adresa după id,Adresa scrisă de mână,Adresa unității
3/16/2020 19:41:55,Brașov,da,,,,200.0,10.0,,,10.0,,,,,,,10.0,10.0,,,"200 măști de unică folosință 
10 măști FFP2
10 halate de unică folosință 
10 litri dezinfectant pentru mâini 
10 litri dezinfectant pentru suprafețe ",3/16/2020 19:41:55,medic de familie,,,,
3/17/2020 10:13:15,Giurgiu,da,,,,200.0,,,,20.0,400.0,,,,,,20.0,20.0,,,"200 masti, 400 manusi latex, 20 litri dezinfectant",3/17/2020 10:13:15,spital privat,Quality Compas Giurgiu-spital de boli cronice si ingrijiri paliative,,,
3/17/2020 10:28:50,București,da,,,,1000.0,500.0,,,,,,,,,,100.0,100.0,,"100 de halate de protecție impermeabile
","Urgent
100 de halate de protecție impermeabile
500 de măști FPP2
1000 de măști chirurgicale 
100 de flacoane de gel dezinfectant
100 de litri de dezinfectant de suprafețe de nivel înalt ",3/17/2020 10:28:50,spital judetean de stat,"Spital Prof dr Constantin Angelescu, București ",,,
3/17/2020 10:30:34,Suceava,da,15000.0,100.0,100.0,50000.0,500.0,1500.0,,50000.0,10000.0,1000.0,,,,,1500.0,1500.0,,"300 ochelari de protecție; 
1 aparat de testare 
30 Termometre cu infrarosu
2500 Combinezoane unică folosință cu protecție biologică
250 combinezoane cu protectie risc biologic
50000 bonete
50000 botosei
50 cizme de cauciuc marimea 40
50 cizme de cauciuc marimea 44
1000 l detergent dezinfectant nivel inalt
1000 l dezinfectant spray de nivel inalt cu actiune rapida
1000 l spirt medicinal
5000 hartie autocat minim
250 l detergent dezinfectant pentru dezinfectia prin imersie e dispozitivelor medicale ( ex Anyosime)
6000 tablete clorigene
50 flacoane gel de dus","120 combinezoane complete; 
120 măști cu filtru / vizetă; 
200 ochelari de protecție; 
500 halate de unică folosință; 
1000 măști de unică folosință; 
200 litri dezinfectant de orice tip; 
1000 mănuși de unică folosință",3/17/2020 10:30:34,spital orășenesc de stat,Spital Municipal Radauti,,,
3/17/2020 10:31:03,Suceava,da,,,,1000.0,200.0,,,100.0,,,,,,,10.0,10.0,,,"1000 masti chirurgicale pt personal si pacienti, 200 masti FFP2, 100 halate de unica folosinta, 300 manusi latex de unica folosinta, 20 litri dezinfectant",3/17/2020 10:31:03,medic de familie,,,,
3/17/2020 10:56:25,Mureș,da,,100.0,,50000.0,500.0,300.0,,10000.0,,,,1000.0,,,1000.0,100.0,,"

600 L săpun antibacterian
3.000 buc cobinezoane impermeabile  
10.000 acoperitori încalțăminte 
10.000 botoșei unica folosință
","avem nevoie de :
1. dezinfectant mâini - DEZMANOL sau DESDERMAN  1.000 l
2. săpun antibacterian - PRIMASEPT - 600 l
3.cobinezoane impermeabile - 3.000 buc 
4, halate unică folosință 10.000 buc
5. maști chirurgicale 50.000 buc
6. măști FFP3 -300 buc
5.maști FFP2- 500 buc
6. acoperitori încalțăminte - 10.000 lei 
7.mănuși lungi de examinare de nitril - 1.000 buc 
8. botoșei unica folosință - 10.000 buc 
9. dezinfectanți suprafețe - MICROZID - TERALIN- 100 l 
",3/17/2020 10:56:25,spital orășenesc de stat,Spitalul Orasenesc Dr. Valer Russu Ludus ,,,
3/17/2020 11:12:05,Vaslui,da,,,,400.0,,,,,,,,,,,5.0,5.0,,"
","Masti simple
Dezinfectant de maini alcoolic si de suprafete",3/17/2020 11:12:05,spital orășenesc de stat,"Spitalul Mun. De Urg. Elena Beldiman, Barlad",,,
3/17/2020 11:16:03,Dâmbovița,da,,,,300.0,200.0,,,100.0,,,,,,,40.0,30.0,,"100 halate impermeabile unica folosinta
1000 sorturi impermeabile de unica folosinta
10 ochelari de protectie 
10 ecrane de protectie faciala
200 masti N95 
50 combinezoane de unica folosinta 
100 cagule unica folosinta 
50 flacoane Aniosgel 800","100 halate impermeabile de unica folosinta 1000 sorturi impermeabile de unica folosinta
10 ochelari de protectie 
10 ecrane de protectie faciala
200 masti N95 sau FFP2
50 combinezoane de unica folosinta 
100 cagule unica folosinta 
50 flacoane Aniosgel 800
30 litri surfanios",3/17/2020 11:16:03,spital judetean de stat,Spitalul Judetean de Urgenta Tirgoviste,,,
3/17/2020 11:25:35,Dolj,da,,,,300.0,50.0,,,100.0,300.0,,,,,,5.0,20.0,,20 litri dezinfectant microaeroflora,"pana pe data de 01.04.2020 avem nevoie de
 20 litri dezinfectant suprafete si microaeroflora, 
100 halata unica folosinta, 
300 manusi unica folosinta, 
5 litri dezinfectant de maini,
300 masti unica folosinta, 
50 masti ffp2",3/17/2020 11:25:35,spital privat,Centrul Medical Prima Clinic,,,
3/17/2020 11:58:14,București,da,,,,500.0,1000.0,1000.0,,500.0,1000.0,,1000.0,,,,50.0,50.0,,"tensiometre de mână (manșetă)
monitoare
1 computer/laptop
","Asociatia Dr. Mamulea colaboreaza cu mai multe spitale din țară, activitatea noastră concentrându-se pe campanii de fundraising pentru dotarea și utilarea spitalelor. 
In contextul crizei actuale, COVID - 19, am luat legătura cu spitalul Victor Babeș care ne-a transmis rugămintea de a-i ajuta rapid cu următoarele : măsti, mănuși, dezinfectant, tensiometre de mână (manșetă), monitoare, precum și un computer/laprop (aflându-se în situația în care lucrează mai multe cadre medicale pe un singur calculator). 
Furnizorul cu care colaborăm are oprite în stocul prducătorului 20.000 de măști, precum și și alte dispozitive medicale care se regăsesc în lista medicilor (ex. monitor). 
Totul este să găsim fonduri pentru a le putea achiziționa. 
De la data achiziției măștile ar putea ajunge într-o săptămână la beneficiar.
Am început o campanie în acest sens și pe facebook și media. 
Vă rugăm ajutați-ne să putem face achizițiile. 
Așteptam feedback-ul dvs. 
P.S. Prețul unei măsți este de 3 lei, fără TVA.",3/17/2020 11:58:14,,,,,
